"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"1";"";"CRYSTALSMD-HC49UP";"HC49UP";"Y1";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"D-FILL-MLL-34";"MELF-MLL34";"D2";"DIODE";"";"";"";"";"";"0";"";"";"";"";"";
"1";"";"LEDSML0805";"SML0805";"LED2";"LED";"";"";"";"";"";"17";"";"";"";"";"";
"1";"";"PINHD-1X16";"1X16";"LCD1";"PIN HEADER";"";"";"";"";"";"17";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"SERVO_HEADER";"PIN HEADER";"";"";"";"";"";"92";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"HCSR04";"PIN HEADER";"";"";"";"";"";"91";"";"";"";"";"";
"1";"10k";"POTENTIOMETER-PTH-9MM-1/20W-20%";"POT-PTH-ALPS";"VR1";"Potentiometer (Pot)";"";"";"";"";"";"";"";"RES-09177";"COM-09288";"";"10k";
"3";"10k";"R-EU_R0805";"R0805";"R1, R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"";"R";"";
"3";"18pf";"C-EUC0805";"C0805";"C1, C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"";"C";"";
"1";"1k";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"";"R";"";
"2";"1uf";"C-EUC0805";"C0805";"C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"";"C";"";
"1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"BARELL_JACK";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";"";"";"";"";"";"";"";
"1";"7806DT";"7806DT";"TO252";"IC1";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA328PB-AUR";"ATMEGA328PB-AUR";"QFP80P900X900X120-32N";"U2";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32";"Unavailable";" AVR microcontroller";" EEPROM: 1024B";" SRAM: 2kB";" Flash: 32kB";" TQFP32  ";"Microchip";"ATMEGA328PB-AUR";"TQFP-32 Microchip";"";"None";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"ENCODER-SWITCH";"ENCODER-SWITCH";"ROTARY_ENC_PLAIN";"S1";"Rotary Encoder w/ Select Switch";"";"";"";"";"";"";"";"";"COM-09117";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$3, U$4";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";
