C1, 25.40, 22.86, 90.00, 18pf, C0805
C4, 30.48, 20.32, 90.00, 18pf, C0805
C5, 30.48, 15.24, 270.00, 18pf, C0805
C6, 35.56, 33.02, 0.00, 1uf, C0805
C7, 27.94, 31.75, 180.00, 1uf, C0805
D2, 40.64, 33.02, 0.00, , MELF-MLL34
IC1, 58.42, 33.90, 0.00, 7806DT, TO252
LED2, 53.34, 10.41, 0.00, , SML0805
R1, 25.91, 27.94, 270.00, 10k, R0805
R3, 16.51, 34.29, 270.00, 10k, R0805
R4, 21.08, 32.00, 90.00, 10k, R0805
R5, 54.86, 7.62, 180.00, 1k, R0805
U$3, 13.21, 39.62, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 60.96, 3.56, 0.00, FIDUCIAL, FIDUCIAL_1MM
U2, 44.45, 22.86, 0.00, ATMEGA328PB-AUR, QFP80P900X900X120-32N
Y1, 35.56, 20.32, 90.00, , HC49UP
